donation_amount,donation_dummy,control,treatment,match_ratio,ratio1,ratio2,ratio3,red_state_dummy,months_since_last_donation,highest_previous_donation,prior_donations_num
0,0,1,0,0,0,0,0,0,30,125,12
0,0,1,0,0,0,0,0,1,42,100,17
0,0,1,0,0,0,0,0,0,6,300,40
0,0,1,0,0,0,0,0,0,7,100,19
0,0,1,0,0,0,0,0,0,17,50,39
0,0,1,0,0,0,0,0,0,19,25,23
0,0,0,1,1,1,0,0,0,27,175,48
0,0,0,1,2,0,1,0,0,4,25,3
0,0,0,1,3,0,0,1,0,6,25,18
0,0,1,0,0,0,0,0,0,1,75,18
0,0,0,1,1,1,0,0,0,2,25,46
0,0,0,1,1,1,0,0,0,6,25,9
0,0,1,0,0,0,0,0,0,18,150,19
0,0,1,0,0,0,0,0,0,41,50,28
0,0,1,0,0,0,0,0,0,6,100,68
0,0,1,0,0,0,0,0,1,8,35,14
0,0,0,1,1,1,0,0,0,2,55,27
8,1,0,1,3,0,0,1,1,0,25,44
0,0,0,1,3,0,0,1,0,1,50,32
0,0,0,1,3,0,0,1,1,2,50,17
0,0,0,1,2,0,1,0,0,9,95,43
0,0,0,1,1,1,0,0,0,16,25,20
0,0,1,0,0,0,0,0,0,28,50,19
0,0,1,0,0,0,0,0,0,6,65,17
0,0,0,1,3,0,0,1,0,18,50,11
0,0,0,1,3,0,0,1,1,2,50,20
0,0,0,1,2,0,1,0,0,8,10,1
0,0,0,1,2,0,1,0,0,0,100,46
0,0,0,1,3,0,0,1,1,17,175,22
0,0,1,0,0,0,0,0,0,43,55,21
0,0,0,1,3,0,0,1,0,4,30,1
0,0,0,1,1,1,0,0,0,32,70,71
0,0,0,1,1,1,0,0,0,8,100,27
0,0,0,1,3,0,0,1,1,13,15,67
0,0,0,1,3,0,0,1,0,6,200,30
0,0,0,1,3,0,0,1,0,29,25,5
0,0,0,1,2,0,1,0,0,6,150,25
0,0,0,1,2,0,1,0,0,4,1000,45
0,0,1,0,0,0,0,0,0,36,200,14
0,0,1,0,0,0,0,0,0,8,300,26
0,0,0,1,3,0,0,1,1,8,20,13
0,0,1,0,0,0,0,0,0,0,50,7
0,0,1,0,0,0,0,0,0,5,50,49
0,0,0,1,3,0,0,1,1,2,100,19
0,0,0,1,3,0,0,1,0,5,100,55
0,0,0,1,1,1,0,0,0,5,60,27
0,0,1,0,0,0,0,0,0,8,40,20
0,0,1,0,0,0,0,0,1,29,45,18
0,0,1,0,0,0,0,0,0,31,1000,31
0,0,0,1,3,0,0,1,0,15,60,18
0,0,1,0,0,0,0,0,0,19,50,18
0,0,0,1,1,1,0,0,0,43,350,16
0,0,0,1,3,0,0,1,0,6,75,41
0,0,0,1,3,0,0,1,0,37,340,35
0,0,0,1,2,0,1,0,0,13,35,57
0,0,0,1,3,0,0,1,0,6,50,23
0,0,0,1,2,0,1,0,0,13,300,57
0,0,0,1,1,1,0,0,0,41,50,16
0,0,0,1,1,1,0,0,0,6,525,36
0,0,0,1,2,0,1,0,0,6,125,25
0,0,0,1,2,0,1,0,0,6,75,26
0,0,0,1,3,0,0,1,0,8,55,23
0,0,0,1,3,0,0,1,1,28,50,27
0,0,0,1,2,0,1,0,0,2,300,63
0,0,1,0,0,0,0,0,0,26,45,32
0,0,1,0,0,0,0,0,0,12,85,19
0,0,0,1,1,1,0,0,0,18,95,14
0,0,1,0,0,0,0,0,0,30,100,6
10,1,0,1,1,1,0,0,1,7,35,22
0,0,0,1,3,0,0,1,0,38,70,7
0,0,0,1,1,1,0,0,0,22,35,52
0,0,0,1,3,0,0,1,0,6,100,27
0,0,0,1,2,0,1,0,0,8,100,29
0,0,0,1,1,1,0,0,0,23,100,161
0,0,1,0,0,0,0,0,1,4,50,37
0,0,0,1,2,0,1,0,0,0,65,135
0,0,0,1,3,0,0,1,0,6,25,17
0,0,0,1,1,1,0,0,0,6,50,20
0,0,0,1,3,0,0,1,1,16,37,18
0,0,1,0,0,0,0,0,0,6,25,7
0,0,0,1,3,0,0,1,0,7,50,21
0,0,1,0,0,0,0,0,0,6,125,23
0,0,0,1,2,0,1,0,0,8,300,13
0,0,0,1,1,1,0,0,0,19,40,16
0,0,1,0,0,0,0,0,0,1,35,20
0,0,0,1,2,0,1,0,0,36,50,8
0,0,0,1,1,1,0,0,0,20,70,40
0,0,1,0,0,0,0,0,0,9,50,18
0,0,0,1,2,0,1,0,0,37,100,9
0,0,0,1,1,1,0,0,0,6,35,21
0,0,0,1,1,1,0,0,0,18,35,23
0,0,0,1,3,0,0,1,0,6,100,12
0,0,0,1,2,0,1,0,0,12,70,15
20,1,0,1,2,0,1,0,0,5,35,20
0,0,0,1,1,1,0,0,0,5,40,31
0,0,1,0,0,0,0,0,0,35,75,64
0,0,1,0,0,0,0,0,0,31,40,19
0,0,0,1,1,1,0,0,0,8,50,2
0,0,1,0,0,0,0,0,0,6,35,14
0,0,0,1,1,1,0,0,0,40,200,23
0,0,0,1,2,0,1,0,1,25,25,56
0,0,0,1,3,0,0,1,0,8,75,24
0,0,0,1,2,0,1,0,0,20,100,20
0,0,0,1,2,0,1,0,0,7,75,10
0,0,0,1,3,0,0,1,0,2,45,6
0,0,1,0,0,0,0,0,0,1,50,31
0,0,1,0,0,0,0,0,0,1,50,6
0,0,0,1,3,0,0,1,0,27,55,19
0,0,1,0,0,0,0,0,0,28,50,16
0,0,0,1,2,0,1,0,0,41,35,9
5,1,0,1,1,1,0,0,0,0,50,184
0,0,0,1,2,0,1,0,0,4,35,24
0,0,1,0,0,0,0,0,0,1,20,2
0,0,1,0,0,0,0,0,0,20,25,60
0,0,0,1,3,0,0,1,0,3,65,25
0,0,0,1,2,0,1,0,0,43,50,15
0,0,0,1,1,1,0,0,0,13,45,18
0,0,1,0,0,0,0,0,0,40,25,17
0,0,0,1,3,0,0,1,0,17,61.189999,16
0,0,1,0,0,0,0,0,0,18,25,8
0,0,0,1,1,1,0,0,0,6,50,20
0,0,0,1,3,0,0,1,0,11,20,15
0,0,0,1,2,0,1,0,0,6,40,10
0,0,0,1,1,1,0,0,0,3,20,31
0,0,0,1,3,0,0,1,0,16,70,21
0,0,1,0,0,0,0,0,0,6,350,20
0,0,0,1,3,0,0,1,0,7,50,30
0,0,1,0,0,0,0,0,0,29,50,17
0,0,0,1,1,1,0,0,1,2,110,40
0,0,0,1,3,0,0,1,0,30,45,19
0,0,1,0,0,0,0,0,0,25,200,20
0,0,1,0,0,0,0,0,0,2,250,5
0,0,0,1,1,1,0,0,0,26,55,7
0,0,1,0,0,0,0,0,0,3,100,38
0,0,0,1,1,1,0,0,0,18,50,8
0,0,0,1,3,0,0,1,0,5,50,34
0,0,0,1,3,0,0,1,0,6,100,17
0,0,1,0,0,0,0,0,0,13,125,9
0,0,0,1,3,0,0,1,0,17,250,18
0,0,1,0,0,0,0,0,0,14,25,81
0,0,0,1,2,0,1,0,0,6,85,32
0,0,0,1,1,1,0,0,1,35,35,15
0,0,0,1,2,0,1,0,0,4,15,26
0,0,1,0,0,0,0,0,0,2,225,24
0,0,1,0,0,0,0,0,0,2,125,30
0,0,0,1,1,1,0,0,1,2,15,59
0,0,1,0,0,0,0,0,1,4,37,29
0,0,0,1,1,1,0,0,0,6,20,27
0,0,0,1,3,0,0,1,0,21,35,12
0,0,0,1,1,1,0,0,0,6,125,23
0,0,0,1,2,0,1,0,0,7,45,34
0,0,0,1,2,0,1,0,0,8,55,7
0,0,1,0,0,0,0,0,1,8,25,15
0,0,0,1,3,0,0,1,0,4,150,46
0,0,0,1,3,0,0,1,0,8,300,51
0,0,1,0,0,0,0,0,0,6,25,15
0,0,0,1,1,1,0,0,0,8,50,20
0,0,1,0,0,0,0,0,0,33,50,14
0,0,0,1,2,0,1,0,0,4,100,29
0,0,0,1,1,1,0,0,0,1,55,65
0,0,0,1,1,1,0,0,0,6,25,44
0,0,0,1,1,1,0,0,0,5,15,25
0,0,1,0,0,0,0,0,0,25,35,23
0,0,0,1,1,1,0,0,0,26,65,19
0,0,0,1,3,0,0,1,0,1,300,21
0,0,1,0,0,0,0,0,0,5,25,11
0,0,0,1,1,1,0,0,0,2,50,30
0,0,0,1,2,0,1,0,0,27,25,6
0,0,0,1,1,1,0,0,0,1,85,24
0,0,0,1,1,1,0,0,0,7,100,3
0,0,0,1,2,0,1,0,0,6,500,19
0,0,1,0,0,0,0,0,0,5,25,17
0,0,0,1,1,1,0,0,0,1,1000,15
0,0,0,1,3,0,0,1,0,3,60,31
25,1,1,0,0,0,0,0,0,28,100,11
0,0,1,0,0,0,0,0,0,20,100,5
0,0,0,1,2,0,1,0,1,5,25,24
0,0,1,0,0,0,0,0,0,30,35,10
100,1,0,1,1,1,0,0,0,29,200,17
0,0,0,1,1,1,0,0,0,3,150,52
0,0,0,1,1,1,0,0,1,6,145,36
0,0,0,1,2,0,1,0,0,5,750,25
0,0,0,1,2,0,1,0,0,1,250,37
0,0,1,0,0,0,0,0,0,8,35,30
0,0,0,1,3,0,0,1,0,8,125,23
0,0,0,1,2,0,1,0,0,4,75,47
0,0,0,1,3,0,0,1,1,7,35,11
0,0,0,1,2,0,1,0,1,30,35,22
0,0,1,0,0,0,0,0,0,3,50,75
0,0,0,1,1,1,0,0,1,4,100,19
0,0,1,0,0,0,0,0,0,6,50,19
0,0,1,0,0,0,0,0,0,6,50,20
0,0,0,1,1,1,0,0,0,3,50,21
0,0,0,1,2,0,1,0,0,5,35,25
0,0,0,1,3,0,0,1,1,0,500,86
50,1,1,0,0,0,0,0,0,9,55,28
0,0,0,1,3,0,0,1,0,2,20,34
0,0,0,1,3,0,0,1,0,8,100,15
0,0,0,1,1,1,0,0,0,8,10,2
0,0,1,0,0,0,0,0,0,32,45,13
0,0,0,1,2,0,1,0,0,8,30,1
0,0,0,1,3,0,0,1,0,1,100,5
0,0,1,0,0,0,0,0,0,43,39.459999,32
0,0,0,1,2,0,1,0,1,6,100,22
0,0,0,1,3,0,0,1,0,5,25,68
0,0,0,1,1,1,0,0,0,0,100,50
0,0,1,0,0,0,0,0,0,39,40,18
0,0,1,0,0,0,0,0,0,29,100,38
0,0,0,1,1,1,0,0,1,2,35,24
0,0,1,0,0,0,0,0,1,18,25,30
0,0,0,1,3,0,0,1,0,6,55,26
0,0,0,1,1,1,0,0,0,3,75,25
0,0,0,1,1,1,0,0,0,7,50,18
0,0,0,1,3,0,0,1,0,30,50,51
0,0,0,1,1,1,0,0,0,28,75,24
0,0,0,1,3,0,0,1,0,16,40,27
0,0,1,0,0,0,0,0,1,6,50,24
0,0,0,1,3,0,0,1,0,0,100,31
0,0,0,1,1,1,0,0,0,1,250,29
0,0,1,0,0,0,0,0,0,14,65,31
0,0,1,0,0,0,0,0,0,42,30,7
0,0,0,1,2,0,1,0,0,6,25,22
0,0,0,1,3,0,0,1,0,2,50,29
0,0,1,0,0,0,0,0,0,6,75,28
0,0,0,1,1,1,0,0,0,8,35,27
0,0,0,1,2,0,1,0,0,40,115,20
0,0,1,0,0,0,0,0,0,28,35,20
0,0,1,0,0,0,0,0,0,45,100,69
0,0,1,0,0,0,0,0,0,4,100,62
0,0,1,0,0,0,0,0,0,4,50,17
0,0,0,1,2,0,1,0,0,10,55,13
0,0,0,1,1,1,0,0,0,42,51,24
0,0,0,1,2,0,1,0,0,3,35,24
0,0,0,1,3,0,0,1,0,31,65,19
0,0,0,1,2,0,1,0,0,32,80,55
0,0,1,0,0,0,0,0,0,43,25,14
0,0,1,0,0,0,0,0,0,6,50,23
0,0,0,1,1,1,0,0,0,6,25,16
20,1,0,1,1,1,0,0,0,2,50,72
15,1,0,1,1,1,0,0,1,4,40,43
0,0,1,0,0,0,0,0,0,42,50,23
0,0,0,1,3,0,0,1,0,38,55,16
0,0,0,1,3,0,0,1,0,4,65,14
0,0,0,1,2,0,1,0,1,43,35,9
0,0,0,1,2,0,1,0,0,31,40,39
0,0,0,1,1,1,0,0,1,5,160,29
0,0,0,1,2,0,1,0,0,6,25,45
0,0,0,1,3,0,0,1,0,17,45,65
0,0,0,1,3,0,0,1,0,8,50,9
0,0,0,1,2,0,1,0,0,3,200,28
0,0,1,0,0,0,0,0,0,43,50,18
0,0,1,0,0,0,0,0,0,8,65,22
0,0,1,0,0,0,0,0,0,5,75,19
0,0,0,1,3,0,0,1,1,16,50,18
